orig_header,header,count
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /15,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /15,1
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב /,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,4
"אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תש""ע /10","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תש""ע /10",1
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,4
"אחוז מחזור מתוך פסולת מוצקה ביתית, מסחרית וגזם","אחוז מחזור מתוך פסולת מוצקה ביתית, מסחרית וגזם",1
אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זיקנה ושאירים,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,4
אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זיקנה ושארים,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,4
אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),1
אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,4
אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושארים,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,4
אחוז עולי + מסך האוכלוסייה,אחוז עולי + מסך האוכלוסייה,1
אחוז עולים בני 0-17 בהשתקעות ראשונה,אחוז עולים בני 0-17 בהשתקעות ראשונה,1
אחוז עולים בני 17-0 בהשתקעות ראשונה,אחוז עולים בני 17-0 בהשתקעות ראשונה,1
אחוז עולים בני 18-44 בהשתקעות ראשונה,אחוז עולים בני 18-44 בהשתקעות ראשונה,1
אחוז עולים בני 44-18 בהשתקעות ראשונה,אחוז עולים בני 44-18 בהשתקעות ראשונה,1
אחוז עולים בני 45-64 בהשתקעות ראשונה,אחוז עולים בני 45-64 בהשתקעות ראשונה,1
אחוז עולים בני 64-45 בהשתקעות ראשונה,אחוז עולים בני 64-45 בהשתקעות ראשונה,1
אחוז עולים בני 65 ומעלה בהשתקעות ראשונה,אחוז עולים בני 65 ומעלה בהשתקעות ראשונה,1
אחוז פחת המים מסך כל אספקת המים,אחוז פחת המים מסך כל אספקת המים,1
אחוז פחת המים מסך כל תקבולי המים,אחוז פחת המים מסך כל תקבולי המים,1
"אחוז צריכת מים אחרת מסה""כ צריכת המים","אחוז צריכת מים אחרת מסה""כ צריכת המים",1
"אחוז צריכת מים ביתית וכל צריכה אחרת מסה""כ צריכת המים","אחוז צריכת מים ביתית וכל צריכה אחרת מסה""כ צריכת המים",1
"אחוז צריכת מים ביתית מסה""כ צריכת המים","אחוז צריכת מים ביתית מסה""כ צריכת המים",1
"אחוז צריכת מים חקלאית מסה""כ צריכת המים","אחוז צריכת מים חקלאית מסה""כ צריכת המים",1
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית",1
"אחוז צריכת מים לבנייה מסה""כ צריכת מים עירונית","אחוז צריכת מים לבנייה מסה""כ צריכת מים עירונית",1
"אחוז צריכת מים לגינון ציבורי מסה""כ צריכת מים ביתית","אחוז צריכת מים לגינון ציבורי מסה""כ צריכת מים ביתית",1
"אחוז צריכת מים לגינון ציבורי מסה""כ צריכת מים עירונית","אחוז צריכת מים לגינון ציבורי מסה""כ צריכת מים עירונית",1
"אחוז צריכת מים לחינוך ולספורט מסה""כ צריכת מים עירונית","אחוז צריכת מים לחינוך ולספורט מסה""כ צריכת מים עירונית",1
"אחוז צריכת מים למגורים מסה""כ צריכת מים ביתית","אחוז צריכת מים למגורים מסה""כ צריכת מים ביתית",1
"אחוז צריכת מים למגורים מסה""כ צריכת מים עירונית","אחוז צריכת מים למגורים מסה""כ צריכת מים עירונית",1
"אחוז צריכת מים למוסדות הרשות המקומית מסה""כ צריכת מים ביתית","אחוז צריכת מים למוסדות הרשות המקומית מסה""כ צריכת מים ביתית",1
"אחוז צריכת מים למוסדות הרשות המקומית מסה""כ צריכת מים עירונית","אחוז צריכת מים למוסדות הרשות המקומית מסה""כ צריכת מים עירונית",1
"אחוז צריכת מים למסחר ומלאכה מסה""כ צריכת מים ביתית","אחוז צריכת מים למסחר ומלאכה מסה""כ צריכת מים ביתית",1
"אחוז צריכת מים עירונית מסה""כ צריכת המים","אחוז צריכת מים עירונית מסה""כ צריכת המים",1
"אחוז צריכת מים תעשייתית מסה""כ צריכת המים","אחוז צריכת מים תעשייתית מסה""כ צריכת המים",1
אחוז שינוי ראלי לעומת שנה קודמת של שכר חודשי ממוצע של גברים שכירים במשך השנה,אחוז שינוי ראלי לעומת שנה קודמת של שכר חודשי ממוצע של גברים שכירים במשך השנה,1
אחוז שינוי ראלי לעומת שנה קודמת של שכר חודשי ממוצע של נשים שכירות במשך השנה,אחוז שינוי ראלי לעומת שנה קודמת של שכר חודשי ממוצע של נשים שכירות במשך השנה,1
אחוז שינוי ראלי לעומת שנה קודמת של שכר חודשי ממוצע של שכיר במשך השנה,אחוז שינוי ראלי לעומת שנה קודמת של שכר חודשי ממוצע של שכיר במשך השנה,1
אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של גברים שכירים במשך,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים במשך,3
אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של נשים שכירות במשך,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של נשים שכירות במשך,2
אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים במשך,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים במשך,3
אחוז שינוי ראלי של הכנסה חודשית ממוצעת של עצמאי במשך השנה (לעומת ),אחוז שינוי ראלי של הכנסה חודשית ממוצעת של עצמאי במשך השנה (לעומת ),1
אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב- ( לעומת ),אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב- (לעומת ),4
אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב- (לעומת ),אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב- (לעומת ),4
אחוז שינוי ריאלי לעומת שנה קודמת של שכר ממוצע לחודש של גברים שכירים במשך,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של גברים שכירים במשך,1
אחוז שינוי ריאלי לעומת שנה קודמת של שכר ממוצע לחודש של נשים שכירות במשך,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של נשים שכירות במשך,2
אחוז שינוי ריאלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים במשך,אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים במשך,3
אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים ב- ( לעומת ),אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב- (לעומת ),4
אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים ב- ( לעומת 200),אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים ב- ( לעומת 200),1
אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים ב- (לעומת ),אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים ב- (לעומת ),4
אחוז שמורות טבע משטח הרשות (),אחוז שמורות טבע משטח הרשות (),1
"אפיון טופוגרפי , גובה מעל פני הים, במטרים - טווח הגבהים","אפיון טופוגרפי , גובה מעל פני הים, במטרים - טווח הגבהים",1
"אפיון טופוגרפי , גובה מעל פני הים, במטרים - מינימלי","אפיון טופוגרפי , גובה מעל פני הים, במטרים - מינימלי",2
"אפיון טופוגרפי , גובה מעל פני הים, במטרים - ממוצע הגבהים","אפיון טופוגרפי , גובה מעל פני הים, במטרים - ממוצע הגבהים",1
"אפיון טופוגרפי , גובה מעל פני הים, במטרים - מקסימלי","אפיון טופוגרפי , גובה מעל פני הים, במטרים - מינימלי",2
אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - דירוג2,אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - דירוג2,3
אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - דירוג3,אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - דירוג2,3
אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - דירוג,אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - דירוג2,3
אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - ערך,אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - ערך,1
אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - ציון תקן,אפיון טופוגרפי - (א) סטיית התקן של הגבהים מעל פני הים - ציון תקן,1
"אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - דירוג2","אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - דירוג2",3
"אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - דירוג3","אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - דירוג2",3
"אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - דירוג","אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - דירוג2",3
"אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - ערך","אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - ערך",1
"אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - ציון תקן","אפיון טופוגרפי - (ב) שיפוע ממוצע, במעלות - ציון תקן",1
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - אשכול3,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - אשכול3,3
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - אשכול4,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - אשכול3,3
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - אשכול,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - אשכול3,3
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - דירוג2,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - דירוג2,2
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - דירוג3,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - דירוג2,2
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - דירוג,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - ערך,2
אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - ערך,אפיון טופוגרפי - מדד טופוגרפיה: ממוצע ציוני תקן של (א) ו-(ב) - ערך,2
ארנונה למגורים - גבייה השנה (קרן + ריבית),ארנונה למגורים - גבייה השנה (קרן + ריבית),1
ארנונה למגורים - גביית פיגורים (קרן + ריבית),ארנונה למגורים - גביית פיגורים (קרן + ריבית),1
"ארנונה למגורים - סה""כ פטורים, שחרורים והנחות","ארנונה למגורים - סה""כ פטורים, שחרורים והנחות",1
"אשכול חברתי-כלכלי (1 נמוך, 10 גבוה)","אשכול חברתי-כלכלי (1 נמוך, 10 גבוה)",1
אשכול חברתי-כלכלי (10 הגבוה ביותר),אשכול חברתי-כלכלי (10 הגבוה ביותר),1
אשכול חברתי-כלכלי (מתוך 10),אשכול חברתי-כלכלי (מתוך 10),1
אשכול חברתי-כלכלי (מתוך 5),אשכול חברתי-כלכלי (מתוך 5),1
אשכול חברתי-כלכלי - מותאם (משולב) (מתוך 10),אשכול חברתי-כלכלי - מותאם (משולב) (מתוך 10),1
אשכול פריפריאליות,אשכול פריפריאליות,1
בני 20 ומעלה (אומדן באלפים),בני 20 ומעלה (אומדן באלפים),1
בני 20 ומעלה שקיבלו שירות מהרשות בשנה האחרונה (אומדן באלפים),בני 20 ומעלה שקיבלו שירות מהרשות בשנה האחרונה (אומדן באלפים),1
בריאות ורווחה - אחוז משטח השיפוט,בריאות ורווחה - אחוז משטח השיפוט,2
"בריאות ורווחה - שטח בקמ""ר","בריאות ורווחה - שטח בקמ""ר",1
בריאות ורווחה -אחוז משטח השיפוט,בריאות ורווחה - אחוז משטח השיפוט,2
"בריאות ורווחה-שטח בקמ""ר -","בריאות ורווחה-שטח בקמ""ר -",1
"בתי ספר - סה""כ ( - /)","בתי ספר - סה""כ ( - /)",1
"בתי ספר - סה""כ ( /)","בתי ספר - סה""כ ( /)",1
"בתי ספר - סה""כ (תש""ס - /)","בתי ספר - סה""כ (תש""ס - /)",1
"בתי ספר - סה""כ /09","בתי ספר - סה""כ /09",1
"בתי ספר - סה""כ /11","בתי ספר - סה""כ /11",1
"בתי ספר - סה""כ /12","בתי ספר - סה""כ /12",1
"בתי ספר - סה""כ /13","בתי ספר - סה""כ /13",1
"בתי ספר - סה""כ /14","בתי ספר - סה""כ /14",1
"בתי ספר - סה""כ /15","בתי ספר - סה""כ /15",1
"בתי ספר - סה""כ תש""ע /10","בתי ספר - סה""כ תש""ע /10",1
"בתי ספר - סה""כ","בתי ספר - סה""כ",1
בתי ספר בחטיבות ביניים,בתי ספר בחטיבות ביניים,1
בתי ספר יסודיים (כולל חינוך מיוחד) ( - /),בתי ספר יסודיים (כולל חינוך מיוחד) ( /),1
בתי ספר יסודיים (כולל חינוך מיוחד) ( /),בתי ספר יסודיים (כולל חינוך מיוחד) /,1
בתי ספר יסודיים (כולל חינוך מיוחד) /09,בתי ספר יסודיים (כולל חינוך מיוחד) /09,1
בתי ספר יסודיים (כולל חינוך מיוחד) /11,בתי ספר יסודיים (כולל חינוך מיוחד) /11,1
בתי ספר יסודיים (כולל חינוך מיוחד) /12,בתי ספר יסודיים (כולל חינוך מיוחד) /12,1
בתי ספר יסודיים (כולל חינוך מיוחד) /13,בתי ספר יסודיים (כולל חינוך מיוחד) /13,1
בתי ספר יסודיים (כולל חינוך מיוחד) /14,בתי ספר יסודיים (כולל חינוך מיוחד) /14,1
בתי ספר יסודיים (כולל חינוך מיוחד) /15,בתי ספר יסודיים (כולל חינוך מיוחד) /15,1
בתי ספר יסודיים (כולל חינוך מיוחד) /,בתי ספר יסודיים (כולל חינוך מיוחד),2
"בתי ספר יסודיים (כולל חינוך מיוחד) תש""ע /10","בתי ספר יסודיים (כולל חינוך מיוחד) תש""ע /10",1
בתי ספר יסודיים (כולל חינוך מיוחד),בתי ספר יסודיים (כולל חינוך מיוחד),2
"בתי ספר על יסודיים - סה""כ ( - /)","בתי ספר על יסודיים - סה""כ ( /)",2
"בתי ספר על יסודיים - סה""כ ( /)","בתי ספר על יסודיים - סה""כ ( /)",2
"בתי ספר על יסודיים - סה""כ /09","בתי ספר על יסודיים - סה""כ /09",1
"בתי ספר על יסודיים - סה""כ /11","בתי ספר על יסודיים - סה""כ /11",1
"בתי ספר על יסודיים - סה""כ /12","בתי ספר על יסודיים - סה""כ /12",1
"בתי ספר על יסודיים - סה""כ /13","בתי ספר על יסודיים - סה""כ /13",1
"בתי ספר על יסודיים - סה""כ /14","בתי ספר על יסודיים - סה""כ /14",1
"בתי ספר על יסודיים - סה""כ /15","בתי ספר על יסודיים - סה""כ /15",1
"בתי ספר על יסודיים - סה""כ /","בתי ספר על יסודיים - סה""כ",3
"בתי ספר על יסודיים - סה""כ תש""ע /10","בתי ספר על יסודיים - סה""כ תש""ע /10",1
"בתי ספר על יסודיים - סה""כ","בתי ספר על יסודיים - סה""כ",3
"בתי ספר על-יסודיים - סה""כ /","בתי ספר על יסודיים - סה""כ /",1
"בתי ספר על-יסודיים - סה""כ","בתי ספר על יסודיים - סה""כ",3
בתי ספר תיכוניים ( - /),בתי ספר תיכוניים ( - /),1
בתי ספר תיכוניים ( /),בתי ספר תיכוניים ( /),1
בתי ספר תיכוניים /09,בתי ספר תיכוניים /09,1
בתי ספר תיכוניים /11,בתי ספר תיכוניים /11,1
בתי ספר תיכוניים /12,בתי ספר תיכוניים /12,1
בתי ספר תיכוניים /13,בתי ספר תיכוניים /13,1
בתי ספר תיכוניים /14,בתי ספר תיכוניים /14,1
בתי ספר תיכוניים /15,בתי ספר תיכוניים /15,1
בתי ספר תיכוניים /,בתי ספר תיכוניים /,1
"בתי ספר תיכוניים תש""ע /10","בתי ספר תיכוניים תש""ע /10",1
בתי ספר תיכוניים,בתי ספר תיכוניים,2
בתי ספר תיכונים,בתי ספר תיכוניים,2
בתי עלמין -אחוז משטח השיפוט,בתי עלמין -אחוז משטח השיפוט,1
"בתי עלמין-שטח בקמ""ר -","בתי עלמין-שטח בקמ""ר -",1
בתי צמיחה -אחוז משטח השיפוט,בתי צמיחה -אחוז משטח השיפוט,1
"בתי צמיחה-שטח בקמ""ר -","בתי צמיחה-שטח בקמ""ר -",1
גובה מינימום במטרים,גובה מינימום במטרים,1
גובה מקסימום במטרים,גובה מקסימום במטרים,1
גופי מים טבעיים -אחוז משטח השיפוט,גופי מים טבעיים -אחוז משטח השיפוט,1
"גופי מים טבעיים-שטח בקמ""ר -","גופי מים טבעיים-שטח בקמ""ר -",1
גופי מים מלאכותיים -אחוז משטח השיפוט,גופי מים מלאכותיים -אחוז משטח השיפוט,1
"גופי מים מלאכותיים-שטח בקמ""ר -","גופי מים מלאכותיים-שטח בקמ""ר -",1
גידולי שדה -אחוז משטח השיפוט,גידולי שדה -אחוז משטח השיפוט,1
"גידולי שדה-שטח בקמ""ר -","גידולי שדה-שטח בקמ""ר -",1
גיל ממוצע של הרכב (שנים),גיל ממוצע של הרכב (שנים),1
גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),1
