header,orig_header,count
בתי ספר יסודיים (כולל חינוך מיוחד),/16/כיתות/בבתי ספר יסודיים (כולל חינוך מיוחד),17
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/כיתות/בבתי ספר על-יסודיים,29
בתי ספר תיכוניים,/16/כיתות/בבתי ספר תיכוניים,25
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/כיתות/בחטיבות ביניים,29
"נכנסים מיישובים אחרים/סה""כ","/16/כיתות/סה""כ",39
בתי ספר יסודיים (כולל חינוך מיוחד),/16/ממוצע תלמידים לכיתה/בבתי ספר יסודיים (כולל חינוך מיוחד),17
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/ממוצע תלמידים לכיתה/בבתי ספר על-יסודיים,29
בתי ספר תיכוניים,/16/ממוצע תלמידים לכיתה/בבתי ספר תיכוניים,25
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/ממוצע תלמידים לכיתה/בחטיבות ביניים,29
"נכנסים מיישובים אחרים/סה""כ","/16/ממוצע תלמידים לכיתה/סה""כ",39
"סה""כ צריכת מים (אלפי מ""ק)","/16/סה""כ צריכת מים (אלפי מ""ק)",4
"פחת מים - סה""כ (אלפי מ""ק)","/16/פחת מים סה""כ (אלפי מ""ק)",5
"צריכת מים תעשייתית (אלפי מ""ק)","/16/צריכת מים ביתית (אלפי מ""ק)/לבנייה",21
"צריכת מים תעשייתית (אלפי מ""ק)","/16/צריכת מים ביתית (אלפי מ""ק)/לגינון ציבורי",21
"צריכת מים תעשייתית (אלפי מ""ק)","/16/צריכת מים ביתית (אלפי מ""ק)/למגורים",21
"צריכת מים תעשייתית (אלפי מ""ק)","/16/צריכת מים ביתית (אלפי מ""ק)/למוסדות הרשות המקומית",21
"צריכת מים תעשייתית (אלפי מ""ק)","/16/צריכת מים ביתית (אלפי מ""ק)/למסחר ומלאכה",21
"צריכת מים לבנייה (מ""ק לנפש)","/16/צריכת מים ביתית (מ""ק לנפש)/לבנייה",17
"צריכת מים לבנייה (מ""ק לנפש)","/16/צריכת מים ביתית (מ""ק לנפש)/לגינון ציבורי",17
"/מגורים/שטח בקמ""ר","/16/צריכת מים ביתית (מ""ק לנפש)/למגורים",11
"צריכת מים לבנייה (מ""ק לנפש)","/16/צריכת מים ביתית (מ""ק לנפש)/למוסדות הרשות המקומית",17
"צריכת מים לבנייה (מ""ק לנפש)","/16/צריכת מים ביתית (מ""ק לנפש)/למסחר ומלאכה",17
"נכנסים מיישובים אחרים/סה""כ","/16/צריכת מים ביתית (מ""ק לנפש)/סה""כ",39
"צריכת מים ביתית וכל צריכה אחרת (אלפי מ""ק)","/16/צריכת מים ביתית וכל צריכה אחרת (אלפי מ""ק)",4
"צריכת מים חקלאית (אלפי מ""ק)","/16/צריכת מים חקלאית (אלפי מ""ק)",4
בתי ספר יסודיים (כולל חינוך מיוחד),/16/תלמידים/בבתי ספר יסודיים (כולל חינוך מיוחד),17
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/תלמידים/בבתי ספר על-יסודיים,29
בתי ספר תיכוניים,/16/תלמידים/בבתי ספר תיכוניים,25
"/16/ילדים בגנים של משרד החינוך/סה""כ",/16/תלמידים/בחטיבות ביניים,29
"נכנסים מיישובים אחרים/סה""כ","/16/תלמידים/סה""כ",39
"תקבולי מים (אלפי מ""ק)","/16/תקבולי מים (אלפי מ""ק)",4
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,/17/אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,16
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,/17/אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,16
חטיבות ביניים /,/17/בתי ספר/חטיבות ביניים,5
"/16/בתי ספר/סה""כ",/17/בתי ספר/יסודיים (כולל חינוך מיוחד),12
"נכנסים מיישובים אחרים/סה""כ","/17/בתי ספר/סה""כ",39
"/16/בתי ספר/סה""כ",/17/בתי ספר/על יסודיים,12
"/16/בתי ספר/סה""כ",/17/בתי ספר/תיכוניים,12
"/16/ילדים בגנים של משרד החינוך/סה""כ",/17/ילדים בגנים של משרד החינוך/גיל 3,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/17/ילדים בגנים של משרד החינוך/גיל 4,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/17/ילדים בגנים של משרד החינוך/גיל 5,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/17/ילדים בגנים של משרד החינוך/גיל 6,29
"נכנסים מיישובים אחרים/סה""כ","/17/ילדים בגנים של משרד החינוך/סה""כ",39
בתי ספר יסודיים (כולל חינוך מיוחד),/17/כיתות/בבתי ספר יסודיים (כולל חינוך מיוחד),17
"/16/כיתות/סה""כ",/17/כיתות/בבתי ספר על-יסודיים,7
בתי ספר תיכוניים,/17/כיתות/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/17/כיתות/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/17/כיתות/סה""כ",39
בתי ספר יסודיים (כולל חינוך מיוחד),/17/ממוצע תלמידים לכיתה/בבתי ספר יסודיים (כולל חינוך מיוחד),17
/16/כיתות/בבתי ספר על-יסודיים,/17/ממוצע תלמידים לכיתה/בבתי ספר על-יסודיים,12
בתי ספר תיכוניים,/17/ממוצע תלמידים לכיתה/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/17/ממוצע תלמידים לכיתה/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/17/ממוצע תלמידים לכיתה/סה""כ",39
בתי ספר יסודיים (כולל חינוך מיוחד),/17/תלמידים/בבתי ספר יסודיים (כולל חינוך מיוחד),17
/16/כיתות/בבתי ספר על-יסודיים,/17/תלמידים/בבתי ספר על-יסודיים,12
בתי ספר תיכוניים,/17/תלמידים/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/17/תלמידים/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/17/תלמידים/סה""כ",39
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,/18/אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,16
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,/18/אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,16
חטיבות ביניים /,/18/בתי ספר/חטיבות ביניים,5
"/16/בתי ספר/סה""כ",/18/בתי ספר/יסודיים,12
"נכנסים מיישובים אחרים/סה""כ","/18/בתי ספר/סה""כ",39
"/16/בתי ספר/סה""כ",/18/בתי ספר/על יסודיים,12
"/16/בתי ספר/סה""כ",/18/בתי ספר/תיכוניים,12
"/16/ילדים בגנים של משרד החינוך/סה""כ",/18/ילדים בגנים של משרד החינוך/גיל 3,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/18/ילדים בגנים של משרד החינוך/גיל 4,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/18/ילדים בגנים של משרד החינוך/גיל 5,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/18/ילדים בגנים של משרד החינוך/גיל 6,29
"נכנסים מיישובים אחרים/סה""כ","/18/ילדים בגנים של משרד החינוך/סה""כ",39
"/16/כיתות/סה""כ",/18/כיתות/בבתי ספר יסודיים,7
"/16/כיתות/סה""כ",/18/כיתות/בבתי ספר על-יסודיים,7
בתי ספר תיכוניים,/18/כיתות/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/18/כיתות/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/18/כיתות/סה""כ",39
/16/כיתות/בבתי ספר על-יסודיים,/18/ממוצע תלמידים לכיתה/בבתי ספר יסודיים,12
/16/כיתות/בבתי ספר על-יסודיים,/18/ממוצע תלמידים לכיתה/בבתי ספר על-יסודיים,12
בתי ספר תיכוניים,/18/ממוצע תלמידים לכיתה/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/18/ממוצע תלמידים לכיתה/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/18/ממוצע תלמידים לכיתה/סה""כ",39
/18/עודף משקל והשמנה כיתה א'/אחוזים,/18/עודף משקל והשמנה כיתה א'/אחוזים,8
/18/עודף משקל והשמנה כיתה א'/אחוזים,/18/עודף משקל והשמנה כיתה א/אחוזים,8
/18/עודף משקל והשמנה כיתה א'/אחוזים,/18/עודף משקל והשמנה כיתה ז'/אחוזים,8
/18/עודף משקל והשמנה כיתה א'/אחוזים,/18/עודף משקל והשמנה כיתה ז/אחוזים,8
/16/כיתות/בבתי ספר על-יסודיים,/18/תלמידים/בבתי ספר יסודיים,12
/16/כיתות/בבתי ספר על-יסודיים,/18/תלמידים/בבתי ספר על-יסודיים,12
בתי ספר תיכוניים,/18/תלמידים/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/18/תלמידים/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/18/תלמידים/סה""כ",39
אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,/19/אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,16
אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,/19/אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,16
"/19/עודף משקל והשמנה, כיתה א/אחוזים",/19/אחוז תלמידים נושרים/בנות,2
"/19/עודף משקל והשמנה, כיתה א/אחוזים",/19/אחוז תלמידים נושרים/בנים,2
"נכנסים מיישובים אחרים/סה""כ","/19/אחוז תלמידים נושרים/סה""כ",39
חטיבות ביניים /,/19/בתי ספר/חטיבות ביניים,5
"/16/בתי ספר/סה""כ",/19/בתי ספר/יסודיים,12
"נכנסים מיישובים אחרים/סה""כ","/19/בתי ספר/סה""כ",39
"/16/בתי ספר/סה""כ",/19/בתי ספר/על-יסודיים,12
"/16/בתי ספר/סה""כ",/19/בתי ספר/תיכוניים,12
"/16/ילדים בגנים של משרד החינוך/סה""כ",/19/ילדים בגנים של משרד החינוך/גיל 3,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/19/ילדים בגנים של משרד החינוך/גיל 4,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/19/ילדים בגנים של משרד החינוך/גיל 5,29
"/16/ילדים בגנים של משרד החינוך/סה""כ",/19/ילדים בגנים של משרד החינוך/גיל 6,29
"נכנסים מיישובים אחרים/סה""כ","/19/ילדים בגנים של משרד החינוך/סה""כ",39
"/16/כיתות/סה""כ",/19/כיתות/בבתי ספר יסודיים,7
"/16/כיתות/סה""כ",/19/כיתות/בבתי ספר על-יסודיים,7
בתי ספר תיכוניים,/19/כיתות/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/19/כיתות/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/19/כיתות/סה""כ",39
/16/כיתות/בבתי ספר על-יסודיים,/19/ממוצע תלמידים לכיתה/בבתי ספר יסודיים,12
/18/עודף משקל והשמנה כיתה א'/אחוזים,"/19/עודף משקל והשמנה, כיתה א/אחוזים",8
/18/עודף משקל והשמנה כיתה א'/אחוזים,"/19/עודף משקל והשמנה, כיתה ז/אחוזים",8
/16/כיתות/בבתי ספר על-יסודיים,/19/תלמידים/בבתי ספר יסודיים,12
/16/כיתות/בבתי ספר על-יסודיים,/19/תלמידים/בבתי ספר על-יסודיים,12
בתי ספר תיכוניים,/19/תלמידים/בבתי ספר תיכוניים,25
/16/בתי ספר/חטיבות ביניים,/19/תלמידים/בחטיבות ביניים,10
"נכנסים מיישובים אחרים/סה""כ","/19/תלמידים/סה""כ",39
אחוז פחת המים מסך כל תקבולי המים,/21/אחוז פחת המים מסך כל תקבולי המים,4
"אחוז צריכת מים ביתית וכל צריכה אחרת מסה""כ צריכת המים","/21/אחוז צריכת מים ביתית וכל צריכה אחרת מסה""כ צריכת המים",4
"אחוז צריכת מים חקלאית מסה""כ צריכת המים","/21/אחוז צריכת מים חקלאית מסה""כ צריכת המים",4
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/21/אחוז צריכת מים מסה""כ צריכת מים ביתית/לבנייה",17
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/21/אחוז צריכת מים מסה""כ צריכת מים ביתית/לגינון ציבורי",17
"/מגורים/שטח בקמ""ר","/21/אחוז צריכת מים מסה""כ צריכת מים ביתית/למגורים",11
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/21/אחוז צריכת מים מסה""כ צריכת מים ביתית/למוסדות הרשות המקומית",17
"אחוז צריכת מים לבנייה מסה""כ צריכת מים ביתית","/21/אחוז צריכת מים מסה""כ צריכת מים ביתית/למסחר ומלאכה",17
/השכלה גבוהה/אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 35-55,/21/השכלה גבוהה/אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,4
/אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,/21/השכלה גבוהה/אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,2
/השכלה גבוהה/אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 35-55,/21/השכלה גבוהה/אחוז סטודנטים מתוך אוכלוסיית בני 25-20,4
/אחוז סטודנטים מתוך כלל האוכלוסייה,/21/השכלה גבוהה/אחוז סטודנטים מתוך כלל האוכלוסייה,2
"סה""כ צריכת מים (אלפי מ""ק)","/21/סה""כ צריכת מים (אלפי מ""ק)",4
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/אחוז בעלי דרגת שכר תואר שני ומעלה,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/אחוז עובדי הוראה חדשים,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/אחוז עובדי הוראה משתלמים מכלל עובדי הוראה,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/אחוז שעות היעדרות מסך שעות עבודה שנתיות,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/ממוצע שנות ותק מוכרות בהוראה,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/ממוצע שעות עבודה לשבוע,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/ממוצע שעות עבודה שבועיות לתלמיד,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/ממוצע תלמידים למורה,27
עובדי הוראה/מספר עובדי הוראה,/21/עובדי הוראה/מספר עובדי הוראה,27
"פחת מים - סה""כ (אלפי מ""ק)","/21/פחת מים סה""כ (אלפי מ""ק)",5
"צריכת מים תעשייתית (אלפי מ""ק)","/21/צריכת מים ביתית (אלפי מ""ק)/לבנייה",21
"צריכת מים תעשייתית (אלפי מ""ק)","/21/צריכת מים ביתית (אלפי מ""ק)/לגינון ציבורי",21
"צריכת מים תעשייתית (אלפי מ""ק)","/21/צריכת מים ביתית (אלפי מ""ק)/למגורים",21
"צריכת מים תעשייתית (אלפי מ""ק)","/21/צריכת מים ביתית (אלפי מ""ק)/למוסדות הרשות המקומית",21
"צריכת מים תעשייתית (אלפי מ""ק)","/21/צריכת מים ביתית (אלפי מ""ק)/למסחר ומלאכה",21
"צריכת מים לבנייה (מ""ק לנפש)","/21/צריכת מים ביתית (מ""ק לנפש)/לבנייה",17
"צריכת מים לבנייה (מ""ק לנפש)","/21/צריכת מים ביתית (מ""ק לנפש)/לגינון ציבורי",17
"/מגורים/שטח בקמ""ר","/21/צריכת מים ביתית (מ""ק לנפש)/למגורים",11
"צריכת מים לבנייה (מ""ק לנפש)","/21/צריכת מים ביתית (מ""ק לנפש)/למוסדות הרשות המקומית",17
"צריכת מים לבנייה (מ""ק לנפש)","/21/צריכת מים ביתית (מ""ק לנפש)/למסחר ומלאכה",17
"נכנסים מיישובים אחרים/סה""כ","/21/צריכת מים ביתית (מ""ק לנפש)/סה""כ",39
"צריכת מים ביתית וכל צריכה אחרת (אלפי מ""ק)","/21/צריכת מים ביתית וכל צריכה אחרת (אלפי מ""ק)",4
"צריכת מים חקלאית (אלפי מ""ק)","/21/צריכת מים חקלאית (אלפי מ""ק)",4
"תקבולי מים (אלפי מ""ק)","/21/תקבולי מים (אלפי מ""ק)",4
/ערך מדד,/אוכלוסייה במוסדות לינה (אחוז מתוך אוכלוסיית הרשות)/סך מוסדות לינה ברשות,119
/ערך מדד,/אוכלוסייה סוף סך הכל אלפים,119
/ערך מדד,/אוכלוסיית דיור משותף (אחוז מתוך אוכלוסיית הרשות)/סך מוסדות דיור משותף ברשות,119
/ערך מדד,/אחוז דיירים בבתי אבות ובדיור מוגן,119
/ערך מדד,/אחוז דיירים בבתי אבות ודיור מוגן,119
/ערך מדד,/אחוז דיירים במוסדות אחרים,119
/ערך מדד,/אחוז דיירים במוסדות אשפוז כולל הוסטלים,119
/ערך מדד,/אחוז דיירים במוסדות דת,119
/ערך מדד,/אחוז דיירים במוסדות חינוך,119
/ערך מדד,/אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב,119
אחוז העצמאים המשתכרים עד מחצית השכר הממוצע ב-,/אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,1
אחוז השכירים המשתכרים עד שכר מינימום ב-,/אחוז השכירים המשתכרים עד שכר מינימום,1
/ערך מדד,/אחוז השפכים המטופלים ברמה שניונית ומעלה,119
/ערך מדד,/אחוז חריגות בבדיקות מיקרוביאליות במי שתייה,119
/ערך מדד,/אחוז סטודנטים מתוך אוכלוסיית בני 20-25,119
/ערך מדד,/אחוז סטודנטים מתוך אוכלוסיית בני 25-20,119
/ערך מדד,/אחוז סטודנטים מתוך כלל האוכלוסייה,119
/ערך מדד,/אחוז שינוי ראלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים,119
/ערך מדד,/אחוז שינוי ראלי של הכנסה ממוצעת לחודש של העצמאים לעומת שנה קודמת,119
/ערך מדד,/אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים/כלל השכירים,119
/ערך מדד,/אחוז שינוי ריאלי לעומת שנה קודמת של שכר ממוצע לחודש של שכירים,119
/ערך מדד,/אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,119
/ערך מדד,/אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת שנה קודמת,119
/ערך מדד,/אחר,119
/ערך מדד,"/אשכול (מ-1 עד 10, 1 הנמוך ביותר)",119
/ערך מדד,"/אשכול (מ-1 עד 10, 1 הפריפריאלי ביותר)",119
/ערך מדד,"/אשכול (מ-1 עד 10, 1 הקומפקטי ביותר)",119
/ערך מדד,"/בריאות ורווחה/שטח בקמ""ר",119
/ערך מדד,/גובה מעל פני הים במטרים/מינימלי,119
/ערך מדד,"/גידול שדה/שטח בקמ""ר",119
/ערך מדד,"/גידולי שדה/שטח בקמ""ר",119
/ערך מדד,"/גינון לנוי פארק ציבורי/שטח בקמ""ר",119
/ערך מדד,"/גינון לנוי, פארק ציבורי/שטח בקמ""ר",119
/ערך מדד,"/דירוג (מ-1 עד 197, 1 הקומפקטי ביותר)",119
/ערך מדד,"/דירוג (מ-1 עד 252, 1 הפריפריאלי ביותר)",119
/ערך מדד,"/דירוג (מ-1 עד 255, 1 הנמוך ביותר)",119
/ערך מדד,"/דירוג (מ-1 עד 255, 1 הפריפריאלי ביותר)",119
/ערך מדד,"/דירוג לפי מרכיבי המדד: מדד נגישות פוטנציאלית (מ-1 עד 252, 1 הנגישות הנמוכה ביותר)",119
/ערך מדד,"/דירוג לפי מרכיבי המדד: מדד נגישות פוטנציאלית (מ-1 עד 255, 1 הנגישות הנמוכה ביותר)",119
/ערך מדד,"/דירוג לפי מרכיבי המדד: קרבה לגבול מחוז תל אביב (מ-1 עד 252, 1 המרוחק ביותר)",119
/ערך מדד,"/דירוג לפי מרכיבי המדד: קרבה לגבול מחוז תל אביב (מ-1 עד 255, 1 המרוחק ביותר)",119
"הכנסה ממוצעת לחודש של העצמאים ב- (ש""ח)","/הכנסה ממוצעת לחודש של העצמאים (ש""ח)",1
/ערך מדד,/השכלה גבוהה/אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 35-55,119
/ערך מדד,/השכלה גבוהה/אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,119
/ערך מדד,"/ותחבורה/שטח בקמ""ר",119
/ערך מדד,"/חיוב ארנונה לאדמה חקלאית/באלפי ש""ח",119
/ערך מדד,"/חיוב ארנונה לאדמה חקלאית/שטח באלפי מ""ר",119
/ערך מדד,"/חיוב ארנונה לאדמת בניין/באלפי ש""ח",119
/ערך מדד,"/חיוב ארנונה לאדמת בניין/שטח באלפי מ""ר",119
/ערך מדד,"/חיוב ארנונה לבנקים וחברות ביטוח/באלפי ש""ח",119
/ערך מדד,"/חיוב ארנונה לבנקים וחברות ביטוח/שטח באלפי מ""ר",119
/ערך מדד,"/חיוב ארנונה לבתי מלון/באלפי ש""ח",119
/ערך מדד,"/חיוב ארנונה לבתי מלון/שטח באלפי מ""ר",119
/ערך מדד,"/חיוב ארנונה לחניונים/באלפי ש""ח",119
/ערך מדד,"/חיוב ארנונה לחניונים/שטח באלפי מ""ר",119
